trade_date,close_price,portfolio_value_PPO_RawPrice,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_RawPrice
2024-05-21,192.350006,172.7997121575961,160.02233748767642,171.63973413977098,170.41196323922304,147.96691161350722,145.30019679569077,192.350006,29.049712157596105
2024-05-22,190.899994,172.7997121575961,158.81602450411884,171.63973413977098,169.1273290622923,146.85147729715723,145.30019679569077,190.899994,29.049712157596105
2024-05-23,186.880005,172.7997121575961,155.4716625785219,171.63973413977098,165.5658307710467,143.7590658674936,145.30019679569077,186.880005,29.049712157596105
2024-05-24,189.979996,175.6661373403819,158.050647712584,171.63973413977098,168.31225934320864,146.1437608505531,145.30019679569077,189.979996,31.91613734038191
2024-05-28,189.990005,175.6661373403819,158.0589745310189,171.63973413977098,168.3211267894621,146.151460360676,145.30019679569077,189.990005,31.91613734038191
2024-05-29,190.289993,175.6661373403819,158.30854447893068,171.63973413977098,168.58690033993557,146.38222873341584,145.30019679569077,190.289993,31.91613734038191
2024-05-30,191.289993,175.6661373403819,159.14047758262748,171.63973413977098,169.47284761273795,147.1514874128957,145.30019679569077,191.289993,31.91613734038191
2024-05-31,192.25,176.54773453668548,159.93913918570811,171.63973413977098,170.32336319625915,147.88998113000716,145.30019679569077,192.25,32.79773453668548
2024-06-03,194.029999,178.18234983409803,161.41997927835533,171.63973413977098,171.90034845590012,149.25926081022266,145.30019679569077,194.029999,34.432349834098034
2024-06-04,194.350006,178.18234983409803,161.68620369507002,171.63973413977098,172.1838577848278,149.50542897246697,145.30019679569077,194.350006,34.432349834098034
2024-06-05,195.869995,179.5758934583878,162.950732861425,171.63973413977098,173.53048789406742,150.6746937034309,145.30019679569077,195.869995,35.82589345838781
2024-06-06,194.479996,179.5758934583878,161.79434667921956,170.42168612371552,172.29902207081938,149.60542490821257,144.26906832577984,194.479996,35.82589345838781
2024-06-07,196.889999,179.5758934583878,163.79930795492814,170.42168612371552,174.43415765611493,151.4593406335351,144.26906832577984,196.889999,35.82589345838781
2024-06-11,207.149994,188.93364539277422,172.3349374391917,179.30240965666087,183.5239722453311,159.3519308387053,151.7869713538415,207.149994,45.183645392774224
2024-06-12,213.070007,194.33306450577993,177.25999222820704,184.426583573358,188.76879161763577,163.90595222158905,156.1247983858103,213.070007,50.58306450577993
2024-06-13,214.240005,194.33306450577993,178.2333522956661,185.43929642283783,189.80534815492,164.80598333806313,156.98210206939163,214.240005,50.58306450577993
2024-06-14,212.490005,192.74567253906898,176.7774693641967,183.92455239200208,188.25494042751583,163.45978064897335,155.6998080430195,212.490005,48.99567253906898
2024-06-17,216.669998,196.53726528713068,180.25494391411755,187.5426206466793,191.9581938261989,166.67527654438848,158.76265378826366,216.669998,52.78726528713068
2024-06-18,214.289993,194.3784076769982,178.2749389676537,185.48256443690263,189.84963488719288,164.84443704093297,157.01873024870036,214.289993,50.628407676998194
2024-06-20,209.679993,190.1967636961196,174.43972735961148,185.48256443690263,185.76541795957385,161.29815452853072,157.01873024870036,209.679993,46.4467636961196
2024-06-21,207.490005,188.21026691989482,172.61780384571273,185.48256443690263,183.82520406350392,159.61348725157393,157.01873024870036,207.490005,44.46026691989482
2024-06-24,208.139999,188.7998642079007,173.15855537151702,185.48256443690263,184.40106447514182,160.11350077768378,157.01873024870036,208.139999,45.0498642079007
2024-06-25,209.070007,189.6434569097161,173.93225981341988,185.48256443690263,185.22500252642624,160.11350077768378,157.01873024870036,209.070007,45.89345690971609
2024-06-26,213.25,193.43504965777782,177.40973436334073,185.48256443690263,188.9282559251093,160.11350077768378,157.01873024870036,213.25,49.685049657777824
2024-06-27,214.100006,194.20607405552417,178.11688249308165,185.48256443690263,189.68131642267497,160.75170680976836,157.01873024870036,214.100006,50.45607405552417
2024-06-28,210.619995,194.20607405552417,175.22174614095266,185.48256443690263,186.59821016790264,158.13882641607623,157.01873024870036,210.619995,50.45607405552417
2024-07-01,216.75,194.20607405552417,180.3215002262795,185.48256443690263,192.02907137991767,162.7413894188181,157.01873024870036,216.75,50.45607405552417
2024-07-02,220.270004,194.20607405552417,183.24990807902464,185.48256443690263,195.14760932397115,165.3842975697745,157.01873024870036,220.270004,50.45607405552417
2024-07-03,221.550003,195.33461437454554,184.31478161982344,186.56041204522552,196.28162094721094,166.3453532362783,157.93117322345785,221.550003,51.58461437454554
2024-07-05,226.339996,195.33461437454554,188.29973536299934,190.59391714869304,200.52530218230348,169.94180129222485,161.34570359573752,226.339996,51.58461437454554
2024-07-08,227.820007,195.33461437454554,189.53100550773473,191.8401886822189,201.83651389147101,171.05303103384023,162.40072445084274,227.820007,51.58461437454554
2024-07-09,228.679993,195.33461437454554,190.2464563298505,192.56435632085856,202.59841614281925,171.69873030267865,163.0137625735989,228.679993,51.58461437454554
2024-07-10,232.979996,195.33461437454554,193.823771171546,196.18525598510143,206.40799207371134,174.92728145711965,166.07900522518395,232.979996,51.58461437454554
2024-07-11,227.570007,190.79878240086168,189.3230222318105,191.6296714067517,201.61502707327043,170.8653247023306,162.22251279310757,227.570007,47.04878240086168
2024-07-12,230.539993,190.79878240086168,191.79385190272654,191.6296714067517,204.24627807023168,173.09526540911003,162.22251279310757,230.539993,47.04878240086168
2024-07-15,234.399994,190.79878240086168,195.00511451492926,191.6296714067517,207.66603542919617,175.9934519184435,162.22251279310757,234.399994,47.04878240086168
2024-07-16,234.820007,191.14066794285762,195.35453723361226,191.97304578916132,208.03814480108772,176.30880831610884,162.51319353547044,234.820007,47.39066794285762
2024-07-17,228.880005,186.30557759273296,190.41285293378712,191.97304578916132,202.775616228747,171.84890437779026,162.51319353547044,228.880005,42.55557759273296
2024-08-12,217.529999,186.30557759273296,180.9704072152299,191.97304578916132,192.72010936675625,163.32703242230272,162.51319353547044,217.529999,42.55557759273296
2024-08-13,221.270004,186.30557759273296,180.9704072152299,191.97304578916132,196.03355659677354,166.13512289581286,162.51319353547044,221.270004,42.55557759273296
2024-08-14,221.720001,186.6844674082725,181.33844689012244,191.97304578916132,196.4322302116928,166.47299204005415,162.51319353547044,221.720001,42.934467408272496
2024-08-15,224.720001,186.6844674082725,183.79206108016734,191.97304578916132,199.09007203009998,168.7254680181693,162.51319353547044,224.720001,42.934467408272496
2024-08-16,226.050003,187.78935666564635,184.8798316734967,193.10923541941003,200.26838367482168,169.72406720345097,163.47502546616965,226.050003,44.03935666564635
2024-08-19,225.889999,187.78935666564635,184.74896897854205,192.9725477410469,200.12662856738422,169.60393214798353,163.35931364299975,225.889999,44.03935666564635
2024-08-20,226.509995,187.78935666564635,185.2560459729991,193.50219583630965,200.6759123327326,170.06944084682604,163.8076828557572,226.509995,44.03935666564635
2024-08-21,226.399994,187.78935666564635,185.1660793014927,193.4082245524191,200.6759123327326,169.98684931013648,163.8076828557572,226.399994,44.03935666564635
2024-08-22,224.529999,187.78935666564635,183.63666387905505,193.4082245524191,200.6759123327326,168.58280970457136,163.8076828557572,224.529999,44.03935666564635
2024-08-23,226.839996,189.72136064044517,185.52594435177542,193.4082245524191,200.6759123327326,170.31721395524403,163.8076828557572,226.839996,45.97136064044517
