trade_date,close_price,position,action
2020-12-15,127.879997,LONG,BUY
2020-12-16,127.809998,LONG,HOLD
2020-12-17,128.699997,LONG,HOLD
2020-12-18,126.660004,FLAT,SELL
2020-12-22,131.880005,LONG,BUY
2020-12-23,130.960007,FLAT,SELL
2020-12-24,131.970001,LONG,BUY
2020-12-28,136.690002,LONG,HOLD
2020-12-29,134.869995,FLAT,SELL
2020-12-30,133.720001,FLAT,HOLD
2020-12-31,132.690002,LONG,BUY
2021-04-05,125.900002,LONG,HOLD
2021-04-06,126.209999,FLAT,SELL
2021-04-07,127.900002,LONG,BUY
2021-04-08,130.360001,LONG,HOLD
2021-04-09,133.0,LONG,HOLD
2021-04-12,131.240005,FLAT,SELL
2021-04-13,134.429993,LONG,BUY
2021-04-14,132.029999,FLAT,SELL
2021-04-15,134.5,LONG,BUY
2021-04-16,134.160004,FLAT,SELL
2021-04-19,134.839996,LONG,BUY
2021-04-20,133.110001,FLAT,SELL
2021-04-21,133.5,LONG,BUY
2021-04-27,134.389999,FLAT,SELL
2021-04-28,133.580002,LONG,BUY
2021-04-29,133.479996,LONG,HOLD
2021-05-25,126.900002,FLAT,SELL
2021-05-26,126.849998,FLAT,HOLD
2021-05-27,125.279999,FLAT,HOLD
2021-05-28,124.610001,FLAT,HOLD
2021-06-01,124.279999,FLAT,HOLD
2021-06-02,125.059998,FLAT,HOLD
2021-06-03,123.540001,FLAT,HOLD
2021-06-04,125.889999,LONG,BUY
2021-06-07,125.900002,FLAT,SELL
2021-06-08,126.739998,FLAT,HOLD
2021-06-09,127.129997,FLAT,HOLD
2021-06-10,126.110001,FLAT,HOLD
2021-06-11,127.349998,LONG,BUY
2021-06-14,130.479996,LONG,HOLD
2021-06-15,129.639999,LONG,HOLD
2021-06-16,130.149994,LONG,HOLD
2021-06-17,131.789993,LONG,HOLD
2021-06-18,130.460007,LONG,HOLD
2021-06-21,132.300003,LONG,HOLD
2021-06-22,133.979996,LONG,HOLD
2021-06-23,133.699997,LONG,HOLD
2021-06-24,133.410004,FLAT,SELL
2021-06-25,133.110001,FLAT,HOLD
2021-06-28,134.779999,LONG,BUY
2021-06-29,136.330002,LONG,HOLD
2021-06-30,136.960007,LONG,HOLD
2021-10-08,142.899994,FLAT,SELL
2021-10-11,142.809998,LONG,BUY
2021-10-12,141.509995,FLAT,SELL
2021-10-13,140.910004,FLAT,HOLD
2021-10-14,143.759995,LONG,BUY
2021-10-15,144.839996,LONG,HOLD
2021-10-18,146.550003,LONG,HOLD
2021-10-19,148.759995,LONG,HOLD
2021-10-20,149.259995,LONG,HOLD
2021-10-21,149.479996,LONG,HOLD
2021-10-22,148.690002,FLAT,SELL
2021-10-25,148.639999,FLAT,HOLD
2021-10-26,149.320007,LONG,BUY
2021-10-27,148.850006,FLAT,SELL
2021-10-28,152.570007,LONG,BUY
2021-11-17,153.490005,LONG,HOLD
2021-11-18,157.869995,LONG,HOLD
2021-11-19,160.550003,LONG,HOLD
2021-11-22,161.020004,LONG,HOLD
2021-11-23,161.410004,LONG,HOLD
2021-11-24,161.940002,LONG,HOLD
2021-11-26,156.809998,FLAT,SELL
2021-11-29,160.240005,LONG,BUY
2021-11-30,165.300003,LONG,HOLD
2021-12-01,164.770004,LONG,HOLD
2021-12-02,163.759995,LONG,HOLD
2021-12-03,161.839996,FLAT,SELL
2021-12-06,165.320007,LONG,BUY
2021-12-07,171.179993,LONG,HOLD
2021-12-08,175.080002,LONG,HOLD
2021-12-09,174.559998,LONG,HOLD
