trade_date,close_price,portfolio_value_PPO_Paper,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_Paper
2023-08-30,187.649994,174.3495145111513,153.5011817865277,161.57768633619696,154.86686274913959,161.48576462910373,141.22437439089572,187.649994,35.9695095111513
2023-08-31,187.869995,174.3495145111513,153.68114669233108,161.7671201422628,154.86686274913959,161.67509066608815,141.22437439089572,187.869995,35.9695095111513
2023-09-01,189.460007,175.82509777428444,154.98180605208978,163.13621403206483,154.86686274913959,163.04340567700922,141.22437439089572,189.460007,37.44509277428443
2023-09-05,189.699997,176.04781636214375,155.1781223313056,163.3428595433022,154.86686274913959,163.24993362740895,141.22437439089572,189.699997,37.66781136214374
2023-09-06,182.910004,176.04781636214375,149.62378189353157,157.49627604072575,154.86686274913959,157.40667625202494,141.22437439089572,182.910004,37.66781136214374
2023-10-06,177.490005,176.04781636214375,149.62378189353157,157.49627604072575,154.86686274913959,152.74239322090492,141.22437439089572,177.490005,37.66781136214374
2023-10-09,178.990005,177.53562816621246,149.62378189353157,157.49627604072575,154.86686274913959,154.0332466964646,141.22437439089572,178.990005,39.15562316621245
2023-10-10,178.389999,176.94049749333774,149.12221664200362,156.9683208032135,154.86686274913959,153.5169001428268,141.22437439089572,178.389999,38.56049249333773
2023-10-11,179.800003,178.3390445566605,149.12221664200362,158.20900672420964,154.86686274913959,154.73030585212888,141.22437439089572,179.800003,39.959039556660485
2023-10-12,180.710007,178.3390445566605,149.87695419132996,159.00973434686188,154.86686274913959,155.5134270695777,141.22437439089572,180.710007,39.959039556660485
2023-10-13,178.850006,178.3390445566605,148.3343097672565,157.37308859710606,154.86686274913959,153.9127678993147,141.22437439089572,178.850006,39.959039556660485
2023-10-16,178.720001,178.20941097147855,148.3343097672565,157.37308859710606,154.86686274913959,153.80088962858792,141.22437439089572,178.720001,39.829405971478536
2023-10-17,177.149994,176.6438893671501,148.3343097672565,157.37308859710606,154.86686274913959,152.4497903001859,141.22437439089572,177.149994,38.2638843671501
2023-10-18,175.839996,176.6438893671501,148.3343097672565,157.37308859710606,154.86686274913959,151.32244665266842,141.22437439089572,175.839996,38.2638843671501
2023-10-19,175.460007,176.26216315921312,148.3343097672565,157.37308859710606,154.86686274913959,150.99543990511876,141.22437439089572,175.460007,37.882158159213105
2023-11-02,177.570007,176.26216315921312,148.3343097672565,157.37308859710606,154.86686274913959,150.99543990511876,141.22437439089572,177.570007,37.882158159213105
2023-11-03,176.649994,176.26216315921312,147.56577066745288,157.37308859710606,154.86686274913959,150.99543990511876,141.22437439089572,176.649994,37.882158159213105
2023-11-06,179.229996,178.8365008264711,147.56577066745288,159.67154824679454,154.86686274913959,153.200752954527,141.22437439089572,179.229996,40.4564958264711
2023-11-07,181.820007,178.8365008264711,149.6982093093205,161.9789246657854,154.86686274913959,155.41462141525335,141.22437439089572,181.820007,40.4564958264711
2023-11-08,182.889999,178.8365008264711,150.57916784088243,162.93215394137877,154.86686274913959,156.3292204428364,141.22437439089572,182.889999,40.4564958264711
2023-11-09,182.410004,178.3671442368076,150.18397265217348,162.50453832730088,154.86686274913959,155.91893423486033,141.22437439089572,182.410004,39.98713923680759
2023-11-10,186.399994,178.3671442368076,153.46905864472927,166.05912123757014,154.86686274913959,159.32946531739762,141.22437439089572,186.399994,39.98713923680759
